SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
West Rajasthan,1901,6.7,0,1.1,0,6.1,3,79,59.2,1,2.1,0,0.6,158.9,6.7,7.2,142.2,2.7
West Rajasthan,1902,0,0,0,0.5,4,49.1,27,71.3,41.8,1.8,0,0,195.6,0,4.5,189.2,1.8
West Rajasthan,1903,1.7,1.3,5.5,0,4.2,2.7,154.8,87.1,49.3,0.1,0,0.5,307,3,9.7,293.8,0.5
West Rajasthan,1904,3.8,2.9,16.3,0.7,11.4,14.6,39.8,45.6,21.4,1.4,2.9,7.1,167.9,6.6,28.5,121.4,11.4
West Rajasthan,1905,6.3,4.8,0.7,1.3,0.3,4.9,30.1,0.6,64.5,0,0,0.9,114.4,11,2.4,100.1,0.9
West Rajasthan,1906,0.1,39.1,7.8,0,0.2,19.9,53.7,58.6,87.1,0.7,0,2.4,269.5,39.1,8,219.3,3.1
West Rajasthan,1907,0.6,24.5,6.3,7.3,6.8,12.8,52.2,242.5,0.2,0.1,0,0,353.2,25,20.3,307.7,0.1
West Rajasthan,1908,8.5,0.2,0,3.8,6.6,28.4,208.9,265.8,56.8,2,1,0,581.9,8.6,10.4,559.9,3
West Rajasthan,1909,1.9,6.5,0,23.7,2.3,29.2,158.2,73.9,114.5,0.6,0,15.4,426.2,8.4,25.9,375.8,16
West Rajasthan,1910,2.2,0.2,0,3.6,0.3,67.3,50.5,156.6,12.2,0.5,0,0,293.2,2.3,3.9,286.5,0.5
West Rajasthan,1911,2.8,0.3,37.3,1.9,0.1,26,3.2,14.8,44.5,5.9,2.1,0,138.8,3.1,39.2,88.5,8
West Rajasthan,1912,16.3,0,0.1,2.2,2.9,19.7,119.7,96.8,13.4,5,3.7,0,279.9,16.3,5.3,249.6,8.7
West Rajasthan,1913,0.1,8.5,2.7,0.5,26.8,53.4,52,58.2,31.1,0.1,0.6,14.1,248.3,8.6,30,194.7,14.9
West Rajasthan,1914,2.6,1.8,0.1,8.4,3,51.6,125.3,54.1,48.3,4,3.1,0,302.3,4.4,11.5,279.3,7.2
West Rajasthan,1915,7,19.7,15.4,0.1,0.6,16.3,25.8,19,12.3,31.1,0,0,147.2,26.7,16,73.4,31.1
West Rajasthan,1916,1.5,0.3,0.2,1.7,16.4,21.2,66.1,191.5,102.8,20,0,0,421.7,1.8,18.4,381.6,20
West Rajasthan,1917,1.3,1.2,1.1,12.2,56.8,73.9,97.1,243.4,203,78.3,0,0.5,768.8,2.5,70.2,617.3,78.9
West Rajasthan,1918,0.4,0,2.7,0.5,0.7,5.6,5.1,40.8,5.9,0.2,0.2,0.1,62.3,0.4,4,57.4,0.5
West Rajasthan,1919,13.7,1.6,0.7,5.4,7.2,1.1,95.7,151.9,21.3,0,4.4,2,305,15.3,13.3,270,6.4
West Rajasthan,1920,2.7,1.5,0.9,1.5,49.2,60.3,94.7,37.2,0.6,0,0,0,248.7,4.2,51.6,192.8,0
West Rajasthan,1921,0.1,0,0,0,0,4.3,119.2,46.7,46.6,0.6,0.1,0.4,218,0.1,0,216.8,1.1
West Rajasthan,1922,0.4,0.6,0,0.8,4.6,18.1,90.8,33.9,91.7,1.5,0,2.5,244.8,1,5.4,234.5,4
West Rajasthan,1923,3.3,4.9,0.7,0.4,9.6,7.8,118.9,118.3,4.7,0.4,0,4.4,273.4,8.2,10.7,249.8,4.8
West Rajasthan,1924,4.4,2.2,0.1,0.5,8.6,11.5,86,68.8,103.6,0.9,0.3,10.1,297.1,6.6,9.3,270,11.3
West Rajasthan,1925,0,0,0,0,8.2,62.6,71.7,20,4.5,0.8,1.8,0,169.7,0,8.2,158.8,2.6
West Rajasthan,1926,5.4,0.3,19.4,0.8,21.4,4,95.6,179.4,113.6,0,0,0.3,440.2,5.7,41.6,392.6,0.3
West Rajasthan,1927,0,7.7,0,0.1,5.4,12.4,135.7,124.8,23.7,4.1,0.4,18.2,332.5,7.7,5.5,296.6,22.7
West Rajasthan,1928,0.4,0.8,1,2,2.1,10.2,79.9,140.4,16.8,14.7,3.3,0.5,272,1.2,5.2,247.3,18.5
West Rajasthan,1929,2.3,0,0,1.8,12.2,11.1,163.5,103.8,3.9,0.3,0,4.4,303.3,2.3,14,282.3,4.7
West Rajasthan,1930,2.5,1.2,0.7,1.8,16.7,47.1,100.3,45.2,8.1,6.3,0.1,0,230.1,3.7,19.2,200.7,6.4
West Rajasthan,1931,0.1,1.1,1.3,0,12.1,10.2,73.5,270.7,9.3,16.8,0,0.2,395.4,1.2,13.4,363.7,17
West Rajasthan,1932,0.7,0.2,6.3,1.8,4.4,10.8,118.6,115.5,6.2,0,0,0.6,265.3,0.9,12.5,251.2,0.6
West Rajasthan,1933,0,7.6,4,13,15.3,46.4,46.1,211.3,31.9,0.5,0.1,0,376.4,7.7,32.3,335.8,0.6
West Rajasthan,1934,0.8,0,8.2,0.2,1.6,60.7,46.8,185.3,16.4,0,0,2.4,322.4,0.8,10,309.2,2.4
West Rajasthan,1935,9.2,2.7,2.5,8.4,0.8,4.1,137.4,38.2,47.2,4.5,0.7,1,256.6,11.9,11.6,227,6.2
West Rajasthan,1936,0.1,4.6,1.8,0.3,0.4,56.6,33.3,119,37.7,0,9.6,2,265.5,4.7,2.4,246.7,11.6
West Rajasthan,1937,0,25.5,0.7,1.9,1.2,17.5,171.8,1.1,60.4,0.7,0,11.6,292.5,25.5,3.9,250.9,12.3
West Rajasthan,1938,2.1,0.5,0,0.6,4.3,52.6,75.5,45.1,1.6,1.1,0,0.1,183.5,2.6,4.9,174.8,1.2
West Rajasthan,1939,0.3,25,7.8,0.2,0.3,22.3,15.9,53.5,12.1,0,0,0,137.4,25.3,8.3,103.8,0
West Rajasthan,1940,18.1,8.5,6.8,1.2,2.2,34.5,55.7,160.4,2.9,1.4,0.7,0,292.4,26.6,10.2,253.5,2.1
West Rajasthan,1941,8.7,0.5,1.2,0,10.2,21.9,74,86.3,18.6,0.4,0,2.8,224.8,9.2,11.5,200.9,3.2
West Rajasthan,1942,3.6,12.2,0,3.7,16.4,19.4,124.3,80.5,75.2,0.3,0,3.3,338.9,15.9,20.2,299.3,3.5
West Rajasthan,1943,1.5,0,0.1,2,1,20.8,195.2,22.3,52.3,0,0,0.3,295.6,1.5,3.1,290.7,0.3
West Rajasthan,1944,14.2,5.7,9.7,11.2,0.9,15.1,137,325.3,4.7,1.1,0,0.1,525.1,19.8,21.8,482.2,1.3
West Rajasthan,1945,18.3,0,0.6,6.1,15,40.9,174.5,73,35.1,0.4,0,0,364,18.3,21.8,323.5,0.5
West Rajasthan,1946,0,1.1,0,0,3,45.5,41.7,117,10.1,1,0,3.6,223.1,1.1,3,214.3,4.7
West Rajasthan,1947,2.5,1.5,0.2,0,0.7,0.6,18.3,140.5,82.4,5.7,0,0.8,253.2,4,0.9,241.7,6.5
West Rajasthan,1948,21.4,15.4,6.7,0.1,0.8,6,111.3,57.5,11.9,1.2,0.3,0.9,233.5,36.8,7.6,186.7,2.4
West Rajasthan,1949,1.8,2.9,0,0.1,3.6,20.5,123.1,42.8,28.5,1.2,0,0.2,224.8,4.7,3.8,214.8,1.4
West Rajasthan,1950,1.4,0.3,1.7,0,1.9,6.6,131.5,64.8,70.1,0,0,0,278.3,1.7,3.6,273,0
West Rajasthan,1951,0.1,0,6.4,5.1,16.4,20.2,33.6,83.3,0.8,0.2,13.8,0,179.8,0.1,27.9,137.9,13.9
West Rajasthan,1952,0,3.7,0.5,0.4,2,20.6,156.9,81.6,0.8,0.2,0.3,0.2,267.1,3.7,2.9,259.9,0.6
West Rajasthan,1953,5.9,0,0,0.8,6.5,15.7,70.9,180.5,23.6,0.1,0,0.3,304.4,5.9,7.3,290.7,0.5
West Rajasthan,1954,1.6,13.4,0.6,0,0.8,16.2,97,35.6,82.3,2,1,0,250.4,15,1.4,231.1,3
West Rajasthan,1955,2.4,2.1,3.3,0.9,8.7,22.6,7.7,230.6,91.7,21,0,0.3,391.3,4.6,12.9,352.5,21.3
West Rajasthan,1956,3.1,0.2,6.1,1,0.1,20.6,208,76.4,12.1,45.1,0,1.4,374.2,3.3,7.3,317.1,46.5
West Rajasthan,1957,19.7,0,5.1,0.2,15.3,28.9,78.3,104.7,5.4,2.3,5.9,1.5,267.1,19.7,20.5,217.2,9.6
West Rajasthan,1958,2.2,0,0.3,0.4,3.2,15.5,69.2,25,123.6,4.5,14.7,5.5,264.1,2.2,3.8,233.3,24.7
West Rajasthan,1959,0.7,2.8,0.8,5,8.7,15.1,119.2,77.3,94.6,6.1,5.1,0,335.3,3.5,14.5,306.1,11.2
West Rajasthan,1960,0.2,0,3,0.2,1.6,25.1,102.3,76.1,3.2,0,0,6.1,217.8,0.2,4.9,206.7,6.1
West Rajasthan,1961,5.2,12.5,0.2,5.6,6.5,102.8,72.2,66.5,123.9,2,1.1,1.8,400.3,17.7,12.2,365.5,4.9
West Rajasthan,1962,0.8,0.2,7.8,2.3,2.1,3.3,126.5,62.1,55,0,0.2,2.1,262.5,1,12.3,247,2.3
West Rajasthan,1963,0.1,0.6,5.7,1.5,3.3,6.3,23.3,96.4,27,4.9,5.1,0.3,174.5,0.7,10.5,153,10.3
West Rajasthan,1964,0.6,0.3,0.5,0.4,13.7,25.4,138.9,140.5,16.4,0.1,0,0.6,337.3,0.9,14.6,321.2,0.7
West Rajasthan,1965,3.6,1.3,3.2,2.7,7.1,6,128,52,7.8,3.4,0.1,0,215.3,4.9,13,193.9,3.5
West Rajasthan,1966,0.1,11.4,1.5,0.1,11.7,34.9,51.3,91.5,48.3,1.8,0.3,0,252.9,11.5,13.2,226,2.2
West Rajasthan,1967,0,0,59,2.1,2,25.2,63.1,96,64.2,3.3,3.7,21.7,340.3,0,63.2,248.5,28.7
West Rajasthan,1968,2.9,6.2,2.9,0,7,0.4,96.8,24.5,0.6,0.7,0,0,142.2,9.1,9.9,122.4,0.7
West Rajasthan,1969,1,1.2,1.1,1,2.7,3,48.8,43.5,15.5,1,0.1,0,119,2.2,4.8,110.8,1.1
West Rajasthan,1970,4.5,18.4,2.3,0.2,3.9,32.9,63,162.8,67.5,0.2,0,0,355.7,22.9,6.4,326.2,0.2
West Rajasthan,1971,3.4,0.4,0.2,1.1,23.9,69.9,83.7,46.4,20.5,2.2,0,0,251.5,3.8,25.1,220.4,2.2
West Rajasthan,1972,1.1,0.8,0,2.4,1.4,35,39.1,102.4,2.2,0.5,0.6,0.4,185.9,1.9,3.8,178.7,1.5
West Rajasthan,1973,0.6,0.4,0,0,10.9,15.8,64.8,311.3,48.8,0.4,0,1.8,454.8,0.9,10.9,440.8,2.2
West Rajasthan,1974,0,0,0,1,23,21.2,87.1,18.5,6,6.7,0,0.8,164.3,0,24,132.8,7.5
West Rajasthan,1975,1.1,0.3,0.8,0.1,2.7,56.8,184.6,145.6,135.2,26.2,0,0.5,553.8,1.3,3.6,522.2,26.7
West Rajasthan,1976,4.2,4.7,0.4,2,10.2,39.7,93.6,163.7,93.4,0.1,13.1,0,425.2,9,12.6,390.4,13.3
West Rajasthan,1977,8.1,0.6,0.1,4.9,11.7,91.4,146.4,51.1,73.6,0.2,0.7,0.4,389.4,8.7,16.7,362.6,1.4
West Rajasthan,1978,0.1,11.6,4.4,5.3,0,32.6,215.4,74.2,23.4,1.4,10.5,0.7,379.7,11.7,9.7,345.6,12.6
West Rajasthan,1979,2.9,25.5,1.7,0.7,31.6,19,118.6,71.9,16.7,10.6,7.5,1.7,308.2,28.4,34,226.1,19.7
West Rajasthan,1980,0.4,0.1,5.4,0.4,6.2,39.6,129.7,22.9,14.6,3.8,2,13.2,238.4,0.5,12.1,206.8,19
West Rajasthan,1981,5.3,2.6,7.3,0,9.2,15.3,108.9,40.5,22.6,0.2,34.8,1.8,248.5,7.9,16.6,187.3,36.8
West Rajasthan,1982,11.3,4,12.3,27.7,41.3,17.7,77,100.6,7.7,7.3,3.5,1.4,311.8,15.4,81.3,202.9,12.2
West Rajasthan,1983,2.8,0.8,2.1,36.1,37.3,33.4,183.8,111.4,51.6,10,0,0,469.3,3.6,75.5,380.1,10.1
West Rajasthan,1984,0.1,2.8,0.1,1.1,0,8.7,50.4,85.3,54.5,0.1,0.2,0,203.2,2.8,1.2,198.9,0.2
West Rajasthan,1985,0.3,0,0.6,8.9,10.9,12.3,97.6,55.2,4.2,4.2,0.3,2.8,197.4,0.4,20.4,169.3,7.3
West Rajasthan,1986,0.5,10.4,2.4,0.3,26,20.5,95.1,44.9,3.5,0.5,0,0.1,204.2,10.9,28.7,164,0.6
West Rajasthan,1987,6.7,0.5,5.7,0.9,34.8,36.7,22.9,29.3,1.8,0.6,0,3.1,143,7.2,41.5,90.7,3.6
West Rajasthan,1988,0.8,0.5,6.9,3.2,0.6,32.1,112.6,73.1,46.8,3.7,0,0.1,280.4,1.3,10.6,264.7,3.8
West Rajasthan,1989,8.6,0,1.3,1,0.2,25.8,81,109.1,20.3,0.2,0.2,0.5,248.1,8.6,2.4,236.2,0.9
West Rajasthan,1990,0,25.2,0.2,1.4,17.7,19.6,164.4,169.2,42.9,2.5,1.1,0.8,445,25.2,19.2,396.1,4.4
West Rajasthan,1991,0.2,4,0,13.6,7,19.3,60.6,55.5,17.1,0.1,0.1,1.6,179,4.2,20.7,152.4,1.8
West Rajasthan,1992,9.6,7.4,1.3,0.7,5.5,8.1,126.2,117.2,143.4,5.4,0.9,0.1,425.8,17,7.5,394.9,6.4
West Rajasthan,1993,2.2,3.3,2,3,5.9,48.6,172.1,6.8,47.9,1.5,0.2,0,293.5,5.4,10.9,275.4,1.7
West Rajasthan,1994,10.7,0.3,0.4,9.9,2.7,31.9,188.5,100.6,70.4,0,0,0,415.5,11,13,391.4,0
West Rajasthan,1995,8.2,8,2.2,3,1.3,18.8,194.8,101.6,16.3,13.6,0,0,367.9,16.3,6.6,331.5,13.6
West Rajasthan,1996,2.2,3.2,2.5,2.3,22,143.2,47.6,64.2,16.9,3.7,0,0,307.9,5.4,26.8,271.9,3.8
West Rajasthan,1997,1.1,0.2,5.5,10.6,20.3,65.9,56.4,103.9,20.6,51.5,3.6,5.6,345.1,1.3,36.4,246.7,60.7
West Rajasthan,1998,0,8.7,4.5,5.6,0.9,51.1,55,32.5,63,58.2,0.1,0,279.6,8.7,11,201.6,58.3
West Rajasthan,1999,6.4,3.1,0.2,0,39.3,23.8,55.9,61.5,6.5,7.6,0,0,204.3,9.5,39.6,147.6,7.6
West Rajasthan,2000,0.5,0.5,0.3,3.1,4.3,8.2,171.6,39.6,5.7,1.1,0.5,0,235.3,1,7.7,225.1,1.5
West Rajasthan,2001,0.5,1.1,0.1,9.5,23.8,48.6,122.9,68.7,2.8,7.3,0,0,285.3,1.5,33.4,243.1,7.3
West Rajasthan,2002,0.3,2.6,1,1.4,11.2,26.9,2.4,17.2,20.6,0.1,2.5,6,92.4,3,13.7,67.2,8.6
West Rajasthan,2003,2.5,21.2,0.8,0.4,1.8,45.2,188.4,93.6,13.9,0.2,0,0.1,368.1,23.7,3,341.1,0.3
West Rajasthan,2004,2.4,0,0,4.8,6,33.5,26.9,94.3,8.6,18.7,0,1.6,196.7,2.4,10.8,163.3,20.3
West Rajasthan,2005,1.4,14.2,8.7,6.3,14.5,29.2,86.1,24.3,75.8,0,0.1,0,260.8,15.6,29.6,215.4,0.1
West Rajasthan,2006,0,0,16.9,3.4,8.3,36.9,52.7,203.6,31.3,5.3,0.4,2.5,361.3,0,28.6,324.4,8.3
West Rajasthan,2007,0,34.9,22,2.3,3.8,41.2,90.5,69.4,45.6,0,0.1,0.9,310.8,35,28.1,246.7,1
West Rajasthan,2008,1.6,0.2,0.8,18.2,24.7,56.1,57.1,133.3,23,0.4,0.4,8.3,324.1,1.8,43.6,269.5,9.1
West Rajasthan,2009,2.9,2.8,5.3,1.6,7.6,26.1,79.1,27.1,7.5,0.3,0.1,0.1,160.4,5.7,14.5,139.8,0.5
West Rajasthan,2010,1.9,1.7,0.6,0.6,3,49.5,129.9,163.4,96.5,0.9,20.1,5.2,473.2,3.6,4.1,439.2,26.2
West Rajasthan,2011,0,11.8,1.5,1.5,7.8,24.4,88.5,166.8,116.3,0.1,0,0,418.7,11.8,10.7,396.1,0.1
West Rajasthan,2012,0.5,0,0,9.5,10.4,5.3,40.4,166.7,92,1.9,0,0.6,327.3,0.5,19.9,304.3,2.5
West Rajasthan,2013,8.6,21.8,4.2,3.1,1.7,37.6,104.5,138.2,58.7,10.1,1,0,389.4,30.4,8.9,339,11.1
West Rajasthan,2014,0.8,2.2,4.7,8.4,23,13.8,94.3,69.6,84.9,0.5,0.2,0,302.4,3,36,262.6,0.7
West Rajasthan,2015,1.4,0.9,30.3,25.2,15.5,53.2,234.6,60.5,35.7,1.1,0.1,0,458.4,2.3,71,384,1.2
West Rajasthan,2016,0.1,1.6,6.7,0.4,4,33.2,80,191.9,11,18.1,0,0,347,1.7,11.1,316.1,18.1
West Rajasthan,2017,6,0.3,4.2,3.3,26.1,81.9,219.7,43.1,21.2,0,0.6,1.8,408.3,6.3,33.6,365.9,2.4